reporting_jurisdiction,partner_jurisdiction,year,admin_support,dormant,regulated_finance,holding_equity,internal_group_finance,insurance,ip_management,manufacturing,other_activity,purchasing,research_development,sales_marketing,services_unrelated,tangible_assets,num_mne_groups,accumulated_earnings,num_employees,num_entities,profit_before_tax,adjusted_profit_before_tax,related_party_revenues,stated_capital,num_subgroups,income_tax_accrued,income_tax_paid,total_revenues,unrelated_party_revenues,profit_positive_panel,profit_negative_panel
LUX,POL,2017,27.0,6.0,3.0,12.0,2.0,2.0,5.0,41.0,7.0,10.0,1.0,76.0,13.0,6061529703.0,57.0,2404634582.0,39772.0,138.0,594367646.0,,4596800345.0,2292836343.0,57.0,66870821.0,40069122.0,12639272326.0,8042471980.0,639914000.0,-45546354.0
LUX,POL,2018,30.0,4.0,2.0,10.0,0.0,2.0,5.0,43.0,8.0,10.0,3.0,80.0,16.0,5837727387.0,63.0,2651891227.0,36325.0,137.0,740538284.9,,4980004392.0,1755497129.0,63.0,140102085.8,88257885.55,14551297652.0,9571293260.0,770508820.4,-29970535.49
LUX,POL,2019,41.0,11.0,5.0,20.0,1.0,2.0,7.0,75.0,22.0,18.0,3.0,103.0,27.0,7344502378.0,67.0,2513792726.0,37142.0,225.0,744813626.0,,4913225876.0,2015762858.0,67.0,137217527.0,126515405.0,15795780847.0,10882554971.0,906788444.0,-161974818.0
LUX,POL,2020,46.0,18.0,7.0,24.0,0.0,2.0,7.0,46.0,31.0,14.0,4.0,104.0,35.0,8265955868.0,74.0,1992452896.0,45329.0,220.0,334306396.4,,4547985875.0,2249303100.0,74.0,120661036.1,106413415.7,14350685191.0,9802699317.0,715812368.5,-381505972.2
LUX,POL,2021,40.0,5.0,2.0,13.0,0.0,2.0,3.0,41.0,38.0,9.0,3.0,89.0,33.0,8270633534.0,72.0,4785759499.0,49149.0,202.0,1759956484.0,,4768130906.0,2382310566.0,72.0,286223072.0,230053389.0,19455261883.0,14687130977.0,1804414952.0,-44458468.0
LUX,PRI,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,32961544.0,7.0,59783016.0,681.0,8.0,15623620.0,,26062760.0,220178230.0,7.0,-1123410.0,-11447.0,241312372.0,215249611.0,20857202.0,-5233582.0
LUX,PRI,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,41684912.59,7.0,66523430.56,626.0,8.0,16793649.84,,3620679.765,225331017.5,7.0,3183393.059,1004718.649,172128413.9,168507734.2,17723031.56,-929381.718
LUX,PRI,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,3.0,47361337.0,8.0,61193782.0,977.0,9.0,8064868.0,,7995476.0,216976081.0,8.0,840456.0,-1610102.0,177163133.0,169167656.0,8082906.0,-18038.0
LUX,PRI,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,3.0,54197296.97,9.0,72626563.54,919.0,10.0,7427747.81,,7501622.494,223804515.1,9.0,1289418.929,2035443.118,221529978.2,214028355.7,8553478.31,-1125730.5
LUX,PRI,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,22688756.0,9.0,27396019.0,958.0,10.0,12513297.0,,5863903.0,37991161.0,9.0,3239636.0,3579862.0,143345669.0,137481766.0,12525125.0,-11827.0
LUX,PRT,2016,9.0,8.0,0.0,10.0,1.0,0.0,0.0,11.0,13.0,3.0,0.0,35.0,10.0,336120346.0,41.0,725582874.7,8152.0,76.0,116296526.0,,287910198.9,271089257.3,41.0,1451805.908,3809489.725,1229455760.0,941545561.0,123068967.7,-6772441.742
LUX,PRT,2017,10.0,5.0,0.0,10.0,2.0,0.0,0.0,12.0,14.0,5.0,0.0,34.0,11.0,440456868.0,38.0,714148390.0,9545.0,75.0,99368613.0,,439800762.0,248033019.0,38.0,-7804431.0,2192424.0,1508879056.0,1069078294.0,126360002.0,-26991389.0
LUX,PRT,2018,14.0,4.0,1.0,14.0,2.0,1.0,1.0,18.0,15.0,5.0,1.0,47.0,16.0,3548338047.0,46.0,1999160095.0,21576.0,107.0,649838362.1,,1728522279.0,704698083.7,46.0,86380414.24,12347362.66,6182600072.0,4454077793.0,652024969.1,-2186607.017
LUX,PRT,2019,16.0,3.0,2.0,16.0,1.0,3.0,1.0,20.0,11.0,6.0,1.0,54.0,25.0,3862620627.0,52.0,1271711291.0,23872.0,118.0,-288451828.0,,1585142438.0,987608384.0,52.0,43604220.0,105502185.0,6219163893.0,4634021456.0,223626437.0,-512078265.0
LUX,PRT,2020,18.0,3.0,1.0,16.0,1.0,2.0,2.0,10.0,15.0,5.0,1.0,53.0,27.0,3778081103.0,56.0,3600403648.0,19116.0,121.0,-54761891.96,,3409592255.0,1880963976.0,56.0,78368267.89,7404424.51,8182146959.0,4772554704.0,126316372.9,-181078264.9
LUX,PRT,2021,12.0,4.0,1.0,13.0,1.0,1.0,2.0,10.0,12.0,7.0,1.0,53.0,30.0,3941391359.0,52.0,2952553479.0,220379.0,114.0,-162945639.0,,2616046173.0,1623080171.0,52.0,108830564.0,93441699.0,6643343103.0,4027296930.0,212147708.0,-375093347.0
LUX,PRY,2021,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,6.0,372218830.0,6.0,134974119.0,4670.0,11.0,43134283.0,,88369849.0,90809365.0,6.0,-7950504.0,-16490916.0,699590881.0,611221032.0,43145119.0,-10836.0
LUX,QAT,2016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,8570276.288,6.0,-927060.691,59.0,7.0,-821626.793,,1706515.725,890605.536,6.0,213297.294,34027.0,16525119.58,14818603.85,509558.011,-1331184.804
LUX,QAT,2017,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0,17090219.0,8.0,-70098080.0,1339.0,9.0,-14478743.0,,2291617.0,1691795.0,8.0,141103.0,80296.0,87016737.0,84725120.0,1163718.0,-15642461.0
LUX,QAT,2018,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,3.0,23867046.27,6.0,1316253.683,216.0,7.0,2706167.963,,23824630.83,943829.076,6.0,467487.9,94174.0,76061647.91,52237017.08,5156819.574,-2450651.611
LUX,QAT,2019,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,10426334.0,8.0,17084512.0,179.0,9.0,16956834.0,,50949751.0,924959.0,8.0,1906599.0,453561.0,120424442.0,69474690.0,18775602.0,-1818767.0
LUX,QAT,2020,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,5.0,16713964.89,11.0,19524621.48,442.0,15.0,-7150011.742,,4605782.912,1520891.076,11.0,927091.824,1687812.557,82094276.0,77488493.09,5084231.435,-12234243.18
LUX,QAT,2021,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,16819723.0,9.0,-7121009.0,622.0,11.0,-35826251.0,,3275464.0,1345551.0,9.0,1283683.0,1022308.0,150572596.0,147297132.0,6857507.0,-42683758.0
LUX,ROU,2016,9.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,6.0,0.0,35.0,7.0,1290880897.0,28.0,280047090.5,11372.0,60.0,-35380372.83,,1199706168.0,506045173.8,28.0,5978147.085,5953269.953,1687018759.0,487312591.2,47997171.08,-83377543.91
LUX,ROU,2017,11.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,8.0,7.0,0.0,35.0,6.0,1732833116.0,29.0,344538085.0,22623.0,65.0,17901128.0,,1358054337.0,954823825.0,29.0,15165187.0,15417693.0,3563433701.0,2205379364.0,99662841.0,-81761713.0
LUX,ROU,2018,17.0,2.0,0.0,1.0,1.0,0.0,0.0,20.0,7.0,10.0,0.0,49.0,11.0,1957344634.0,36.0,426078326.0,27456.0,83.0,242059177.0,,1658412848.0,1034145202.0,36.0,29387046.47,25014501.62,4622356692.0,2963943843.0,256460762.6,-14401585.58
LUX,ROU,2019,19.0,1.0,0.0,1.0,1.0,0.0,0.0,21.0,15.0,10.0,2.0,50.0,13.0,1149246526.0,38.0,117791154.0,25952.0,94.0,79424031.0,,1134860928.0,781704097.0,38.0,31573288.0,33287609.0,4341831988.0,3206971060.0,188718776.0,-109294745.0
LUX,ROU,2020,18.0,4.0,0.0,1.0,1.0,0.0,1.0,16.0,15.0,10.0,2.0,53.0,15.0,1352422508.0,45.0,427201013.5,28044.0,97.0,156995199.5,,521229809.9,986946221.1,45.0,20679832.19,29664575.01,3972475764.0,3451245954.0,188007022.4,-31011822.84
LUX,ROU,2021,17.0,7.0,0.0,2.0,1.0,0.0,1.0,18.0,18.0,9.0,2.0,51.0,15.0,1528174441.0,45.0,456061828.0,26190.0,101.0,258947419.0,,885040581.0,1017922162.0,45.0,39647318.0,40285025.0,5008836941.0,4123796360.0,275200149.0,-16252730.0
LUX,RUS,2016,12.0,10.0,3.0,3.0,3.0,2.0,2.0,22.0,31.0,10.0,4.0,48.0,9.0,1275109769.0,51.0,3378866903.0,35795.0,112.0,268569444.2,,572361090.4,5030680277.0,51.0,389235410.5,309678367.6,5526830651.0,4954469561.0,317756920.9,-49187476.73
LUX,RUS,2017,7.0,10.0,2.0,4.0,3.0,1.0,2.0,21.0,42.0,8.0,4.0,47.0,9.0,1562623492.0,50.0,4146380883.0,37606.0,116.0,1295591534.0,,528219599.0,4891497963.0,50.0,264074626.0,231270549.0,6297769720.0,5769550120.0,1379174224.0,-83582690.0
LUX,RUS,2018,11.0,10.0,4.0,11.0,3.0,5.0,5.0,23.0,49.0,12.0,6.0,60.0,10.0,3412254744.0,59.0,6130183822.0,71489.0,154.0,2942884864.0,,-123562903.5,6380128144.0,59.0,331362404.9,453833953.2,11637823849.0,11761386753.0,3002084259.0,-59199395.18
LUX,RUS,2019,12.0,10.0,4.0,10.0,3.0,7.0,5.0,25.0,49.0,15.0,6.0,59.0,14.0,3205206932.0,61.0,7929380363.0,72586.0,162.0,1407765789.0,,787936370.0,6420016857.0,61.0,348866867.0,370751463.0,13199759998.0,12411823628.0,1466818373.0,-59052584.0
LUX,RUS,2020,12.0,8.0,4.0,8.0,2.0,6.0,5.0,21.0,51.0,12.0,4.0,59.0,21.0,2744029412.0,63.0,9086056904.0,73773.0,156.0,3060533555.0,,185463643.6,6190785941.0,63.0,413328864.8,451561453.2,15982634444.0,15797170800.0,3236373504.0,-175839948.8
LUX,RUS,2021,14.0,7.0,5.0,8.0,3.0,6.0,5.0,22.0,45.0,15.0,5.0,54.0,22.0,3452538188.0,60.0,11230236588.0,78225.0,151.0,2985958864.0,,1256193483.0,6294067277.0,60.0,660332250.0,662908303.0,17180356554.0,15924163071.0,3009303825.0,-23344962.0
LUX,SAU,2016,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,171915304.7,7.0,27238681.81,783.0,10.0,5468340.958,,6665764.78,59434569.08,7.0,1112585.062,3730000.146,172409849.4,165744084.6,6532474.593,-1064133.634
LUX,SAU,2017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,7.0,224358089.0,9.0,440423602.0,9371.0,15.0,97524711.0,,54685263.0,53420852.0,9.0,28265877.0,65769548.0,915740827.0,861055564.0,132963682.0,-35438971.0
LUX,SAU,2018,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,192171966.6,10.0,19243804.27,1054.0,15.0,-3436777.463,,12411883.63,48882566.76,10.0,859370.786,1245573.863,335520046.9,323108163.2,7165249.853,-10602027.32
LUX,SAU,2019,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,5.0,4.0,444401664.0,12.0,143732776.0,3226.0,19.0,-80340719.0,,18633723.0,204062915.0,12.0,511822.0,2731805.0,784086931.0,765453208.0,13350115.0,-93690834.0
LUX,SAU,2020,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,4.0,10.0,453988091.4,15.0,-230645221.8,3829.0,27.0,-9399829.54,,20559064.88,277211390.1,15.0,11529999.08,5629497.996,626071796.0,605512731.2,51697998.33,-61097827.87
LUX,SAU,2021,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,5.0,14.0,528162470.0,15.0,-294770477.0,4139.0,27.0,-10074954.0,,38462553.0,352885290.0,15.0,14355767.0,18944699.0,991929752.0,953467199.0,83832351.0,-93907305.0
LUX,SEN,2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,98554610.0,6.0,-209278155.0,254.0,9.0,1552472.0,,1029338.0,59243572.0,6.0,589801.0,840148.0,150518309.0,149488971.0,4913472.0,-3361000.0
