reporting_jurisdiction,partner_jurisdiction,year,admin_support,dormant,regulated_finance,holding_equity,internal_group_finance,insurance,ip_management,manufacturing,other_activity,purchasing,research_development,sales_marketing,services_unrelated,tangible_assets,num_mne_groups,accumulated_earnings,num_employees,num_entities,profit_before_tax,adjusted_profit_before_tax,related_party_revenues,stated_capital,num_subgroups,income_tax_accrued,income_tax_paid,total_revenues,unrelated_party_revenues,profit_positive_panel,profit_negative_panel
ARE,AFG,2021,2.0,1.0,1.0,,,,,4.0,2.0,4.0,,2.0,2.0,78832974.0,5.0,-221400772.0,3564.0,18.0,-46006802.0,,4895573.0,48663869.0,5.0,0.0,42927479.0,148803203.0,143907630.0,17191709.0,-63198511.0
ARE,AGO,2021,,3.0,,,,,,,,,,,7.0,22250946.0,4.0,97444332.0,3249.0,10.0,17925795.0,,0.0,10236316.0,4.0,9822146.0,13390865.0,171764219.0,171764219.0,24771071.0,-6845276.0
ARE,ARE,2021,281.0,562.0,99.0,874.0,69.0,24.0,96.0,135.0,1004.0,216.0,48.0,525.0,529.0,342000000000.0,59.0,143000000000.0,581795.0,4462.0,31538024664.0,,56775290388.0,443000000000.0,59.0,61896681.0,136782996.0,257000000000.0,201000000000.0,41101926875.0,-9563902211.0
ARE,ARG,2021,2.0,1.0,,,,,,,2.0,,,2.0,9.0,150688454.0,6.0,107444651.0,2007.0,16.0,35504518.0,,0.0,92323233.0,6.0,13543107.0,7470407.0,297786434.0,297786434.0,39051883.0,-3547365.0
ARE,ARM,2021,,,,,,,,,1.0,1.0,,1.0,,4594136.0,2.0,-35219938.0,327.0,3.0,-321915.0,,0.0,29657109.0,2.0,0.0,0.0,12587092.0,12587092.0,,-321915.0
ARE,AUS,2021,7.0,15.0,,34.0,4.0,,1.0,2.0,9.0,1.0,,17.0,60.0,1473541064.0,14.0,-5826704291.0,11637.0,150.0,168802087.0,,128009651.0,13072424011.0,14.0,4979628.0,5564568.0,2292399983.0,2164390333.0,264704574.0,-95902487.0
ARE,AUT,2021,1.0,3.0,1.0,3.0,,,,,1.0,,4.0,2.0,3.0,18623945.0,6.0,3354172441.0,472.0,18.0,49254043.0,,19537940.0,283374372.0,6.0,25079297.0,10393607.0,211922961.0,192385021.0,52776131.0,-3522088.0
ARE,AZE,2021,,4.0,,,,,,,1.0,,,2.0,3.0,21765136.0,4.0,-84938014.0,872.0,10.0,9291076.0,,12315246.0,65157.0,4.0,11406842.0,12853066.0,242615798.0,230300554.0,9291076.0,0.0
ARE,BEL,2021,8.0,8.0,,2.0,,,,,,1.0,1.0,3.0,7.0,68359701.0,8.0,-49893123.0,1759.0,30.0,19246150.0,,28499789.0,209755076.0,8.0,3945204.0,3309998.0,398674045.0,370174256.0,30557937.0,-11311787.0
ARE,BEN,2021,,,,,,,,,2.0,,,,,106101964.0,1.0,-58581701.0,160.0,2.0,3015187.0,,3893970.0,21806399.0,1.0,2151140.0,77741.0,147351448.0,143457478.0,3015187.0,
ARE,BFA,2021,,,,,,,,,1.0,,,,,220336998.0,1.0,59598495.0,653.0,1.0,83168853.0,,16847624.0,62591815.0,1.0,23516292.0,23614687.0,285385798.0,268538174.0,83168853.0,
ARE,BGD,2021,,1.0,,,,,,,,,,,1.0,41183.0,2.0,-71556.0,80.0,2.0,113159.0,,360493.0,126518.0,2.0,237873.0,81675.0,6118279.0,5757786.0,113159.0,0.0
ARE,BGR,2021,,,,,,,,,,,1.0,,,2985555.0,1.0,1061753.0,217.0,1.0,891242.0,,9695369.0,501549.0,1.0,111793.0,109978.0,9892259.0,196890.0,891242.0,
ARE,BHR,2021,4.0,3.0,6.0,5.0,1.0,,,,9.0,3.0,,12.0,14.0,1094712297.0,22.0,185453111.0,5713.0,57.0,294431139.0,,141682806.0,98352572.0,22.0,12053469.0,14355008.0,1204578025.0,1062895220.0,310946088.0,-16514948.0
ARE,BHS,2021,5.0,2.0,,10.0,,,1.0,,3.0,,,1.0,1.0,0.0,4.0,118087808.0,0.0,23.0,-5092607.0,,133782.0,1605497216.0,4.0,0.0,0.0,396282.0,262500.0,,-5092607.0
ARE,BIH,2021,1.0,,,,,,1.0,2.0,,,,,,54091912.0,1.0,-26038063.0,156.0,4.0,-1816874.0,,601071.0,91074566.0,1.0,0.0,0.0,12032913.0,11431842.0,,-1816874.0
ARE,BLR,2021,,1.0,,,,,,,1.0,,,,,0.0,1.0,-292343.0,0.0,2.0,0.0,,0.0,42931.0,1.0,0.0,0.0,0.0,0.0,,0.0
ARE,BMU,2021,,2.0,,29.0,,1.0,,,,,,,,810586000.0,5.0,2554135807.0,0.0,32.0,888072605.0,,0.0,813274775.0,5.0,98475871.0,805672.0,291684942.0,291684942.0,888193279.0,-120674.0
ARE,BRA,2021,10.0,11.0,,,,,1.0,,16.0,,,,23.0,494307146.0,7.0,-1067892230.0,10771.0,61.0,-76646199.0,,19275149.0,254569892.0,7.0,4272506.0,1609058.0,293432802.0,274157653.0,172948.0,-76819147.0
ARE,BRB,2021,,,,,,1.0,,,,,,,,0.0,1.0,41554014.0,0.0,1.0,5971892.0,,627042.0,14683203.0,1.0,10646.0,10646.0,6165024.0,5537982.0,5971892.0,
ARE,CAF,2021,,,,,,,,,1.0,,,,,24854658.0,1.0,-17723566.0,60.0,1.0,-4986554.0,,110568.0,3691039.0,1.0,46802.0,0.0,6564807.0,6454239.0,,-4986554.0
ARE,CAN,2021,2.0,13.0,,10.0,8.0,,1.0,9.0,3.0,,1.0,3.0,27.0,9431352808.0,11.0,-2318451289.0,8863.0,77.0,2424931866.0,,3594349706.0,10357195221.0,11.0,313262931.0,2123869.0,7219774727.0,3625425022.0,2457776107.0,-32844241.0
ARE,CHE,2021,2.0,3.0,2.0,5.0,,,,,1.0,2.0,,6.0,7.0,224948536.0,13.0,120237003.0,1581.0,28.0,43823177.0,,150800784.0,283176196.0,13.0,1555120.0,5634214.0,1301024377.0,1150223593.0,63259378.0,-19436201.0
ARE,CHL,2021,5.0,,,,,,,,4.0,,,,10.0,464756351.0,2.0,575809025.0,5371.0,19.0,27355718.0,,69238378.0,512114500.0,2.0,1115392.0,1143572.0,445346847.0,376108469.0,27355718.0,
ARE,CHN,2021,10.0,8.0,,,,,,,6.0,1.0,4.0,15.0,21.0,7141883.0,16.0,-86077419.0,2190.0,65.0,-24454134.0,,62283072.0,119956150.0,16.0,1450122.0,1087641.0,348846572.0,286563500.0,9106051.0,-33560185.0
ARE,CIV,2021,2.0,,,1.0,,,,,1.0,,,2.0,3.0,219026341.0,4.0,353867.0,387.0,9.0,5414446.0,,4886638.0,38659651.0,4.0,19082874.0,14796617.0,361999547.0,357112909.0,5488949.0,-74503.0
ARE,CMR,2021,,1.0,,,,,,,,,,,,19331.0,1.0,0.0,0.0,1.0,-228491.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,-228491.0
ARE,COD,2021,,,,,,,,,,,,,2.0,0.0,2.0,-2644931.0,0.0,2.0,294650.0,,0.0,19414.0,2.0,0.0,0.0,412468.0,412468.0,294650.0,
ARE,COG,2021,,2.0,,,,,,,,,,,,0.0,2.0,-797206.0,0.0,2.0,93336.0,,0.0,3642.0,2.0,0.0,0.0,46668.0,46668.0,93336.0,
ARE,COL,2021,2.0,2.0,,,,,,3.0,,,,3.0,6.0,188362656.0,5.0,-383289781.0,340.0,16.0,-21205728.0,,-3264908.0,734453953.0,5.0,152212.0,653408.0,96420645.0,99685552.0,,-21205728.0
ARE,CRI,2021,,1.0,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0
ARE,CUW,2021,,,,4.0,,,,,1.0,,,,,57760.0,4.0,134441740.0,0.0,5.0,-9078783.0,,9583424.0,110889831.0,4.0,49460.0,0.0,9583424.0,0.0,,-9078783.0
ARE,CYM,2021,1.0,23.0,2.0,86.0,5.0,,11.0,1.0,289.0,,,4.0,5.0,6224592853.0,24.0,-6588666647.0,0.0,427.0,2306148983.0,,2474404225.0,36751627967.0,24.0,142372.0,18208685.0,4684189057.0,2209784832.0,3125784087.0,-819635104.0
ARE,CYP,2021,4.0,5.0,1.0,22.0,4.0,,,,4.0,1.0,,2.0,3.0,16929108.0,13.0,-2447913325.0,614.0,46.0,2119355.0,,54546112.0,1047071549.0,13.0,1658312.0,127792.0,125928479.0,71382367.0,10635032.0,-8515678.0
ARE,CZE,2021,2.0,,,,,,,,,,,,5.0,17561150.0,5.0,-7546996.0,487.0,7.0,-10885258.0,,2002451.0,4814445.0,5.0,61006.0,91083.0,13884093.0,11881642.0,377256.0,-11262513.0
ARE,DEU,2021,13.0,5.0,1.0,6.0,1.0,,,4.0,15.0,1.0,5.0,7.0,21.0,2343835969.0,12.0,-987071638.0,6396.0,79.0,-18792874.0,,2053475527.0,4418020335.0,12.0,4058610.0,6104612.0,2418757544.0,365282017.0,8645405.0,-27438278.0
ARE,DJI,2021,2.0,,,2.0,,,,2.0,,2.0,,4.0,2.0,4107177.0,3.0,-2865070.0,24.0,14.0,-836470.0,,633534.0,985866.0,3.0,35554.0,8278.0,3553230.0,2919696.0,,-836470.0
ARE,DNK,2021,5.0,1.0,,2.0,2.0,,1.0,,,2.0,,8.0,13.0,1485543.0,5.0,852564777.0,353.0,34.0,148848894.0,,19131764.0,71020312.0,5.0,116948.0,28816.0,1566649775.0,1547518011.0,149297110.0,-448216.0
ARE,DOM,2021,,,,,,,,,2.0,,,,2.0,891736928.0,2.0,80549824.0,3168.0,4.0,72085296.0,,188887998.0,376371290.0,2.0,0.0,0.0,290184518.0,101296520.0,72085296.0,
ARE,DZA,2021,,1.0,,,,,,2.0,5.0,2.0,,3.0,3.0,271863005.0,8.0,-144607314.0,696.0,16.0,891307.0,,2162300.0,135986531.0,8.0,937935.0,1540466.0,55543911.0,53381611.0,2169055.0,-1277748.0
ARE,ECU,2021,10.0,,,4.0,,,,,,,,2.0,5.0,904635936.0,4.0,-255317333.0,1140.0,21.0,-80375875.0,,353212.0,406493410.0,4.0,1058142.0,1078327.0,152902823.0,152549611.0,,-80375875.0
ARE,EGY,2021,7.0,12.0,6.0,19.0,2.0,,2.0,24.0,31.0,14.0,1.0,29.0,34.0,13193874293.0,31.0,4914906825.0,124980.0,181.0,2655456525.0,,704017362.0,4041174655.0,31.0,727559928.0,268195051.0,13508711106.0,12804693746.0,2693127785.0,-37671260.0
ARE,ESP,2021,6.0,5.0,,7.0,,,2.0,3.0,6.0,2.0,1.0,7.0,49.0,178288992.0,12.0,454002885.0,1940.0,88.0,466996090.0,,42703475.0,1174349035.0,12.0,5688258.0,4894306.0,911806538.0,869103061.0,473042464.0,-6046374.0
ARE,ETH,2021,,1.0,,,,,,,1.0,,,,2.0,34345107.0,4.0,-44538792.0,490.0,4.0,-11858854.0,,0.0,6587797.0,4.0,-4149040.0,80593.0,55592819.0,55592819.0,9135278.0,-20994132.0
ARE,FIN,2021,,,,,,,,,,,1.0,,2.0,0.0,3.0,-138246.0,57.0,3.0,1726201.0,,22037211.0,341792.0,3.0,326572.0,365233.0,22037211.0,0.0,1726417.0,-216.0
ARE,FRA,2021,4.0,1.0,1.0,2.0,,,,,29.0,4.0,1.0,5.0,9.0,404870778.0,13.0,668134872.0,139.0,56.0,30770606.0,,288610803.0,431152436.0,13.0,2598115.0,3143659.0,97152562.0,-191458242.0,31221876.0,-451270.0
ARE,GAB,2021,,,,,,,,,1.0,,,,,168668559.0,1.0,38310736.0,452.0,1.0,60004665.0,,1997359.0,99106647.0,1.0,20862383.0,20251189.0,230733268.0,228735909.0,60004665.0,
ARE,GBR,2021,33.0,108.0,3.0,91.0,6.0,2.0,8.0,7.0,62.0,15.0,9.0,33.0,99.0,7370752510.0,36.0,4078002561.0,23867.0,476.0,573946317.0,,2246802911.0,15306598937.0,36.0,202003474.0,55620463.0,10845142493.0,8598339583.0,878170550.0,-304224233.0
ARE,GEO,2021,,2.0,,,,,,,,1.0,,1.0,1.0,40677273.0,3.0,-71634034.0,2781.0,5.0,2110577.0,,240388.0,1869237.0,3.0,515409.0,209874.0,197782213.0,197541825.0,2110577.0,
ARE,GGY,2021,,,,,4.0,,,,21.0,,,,,1320069505.0,3.0,-110559788.0,1.0,25.0,-41565269.0,,6145336.0,2703.0,3.0,440572.0,459787.0,33854472.0,27709136.0,2239299.0,-43804568.0
ARE,GHA,2021,,,,1.0,,1.0,,1.0,1.0,,,6.0,9.0,206980972.0,10.0,-4934826.0,960.0,19.0,42836685.0,,3970733.0,76874171.0,10.0,9119613.0,5357995.0,362221285.0,358250552.0,43227547.0,-390862.0
ARE,GIB,2021,,,,,,,,,,,,,1.0,21296.0,1.0,0.0,5.0,1.0,-58718.0,,0.0,0.0,1.0,0.0,0.0,573986.0,573986.0,,-58718.0
ARE,GIN,2021,,,,,,,,1.0,,1.0,,1.0,,1454693171.0,1.0,-939335283.0,434.0,3.0,2339558.0,,317532515.0,30565.0,1.0,5000000.0,5000000.0,318791562.0,1259047.0,2339558.0,
ARE,GNQ,2021,,,,,,,,,,,,,2.0,452282.0,1.0,-7186538.0,40.0,2.0,6515107.0,,38212428.0,20665.0,1.0,22025.0,717756.0,54826231.0,16613803.0,6515107.0,
ARE,GRC,2021,,1.0,,,,,,,,,,1.0,1.0,241240.0,3.0,1277242.0,34.0,3.0,1105106.0,,610766.0,2046801.0,3.0,8435.0,-53474.0,5187109.0,4576343.0,1105106.0,0.0
ARE,GUY,2021,,,,,,,,,,,,,1.0,2726.0,1.0,11968.0,2.0,1.0,-7408.0,,11722.0,0.0,1.0,0.0,0.0,127444.0,115722.0,,-7408.0
ARE,HKG,2021,8.0,10.0,2.0,16.0,2.0,,,,6.0,1.0,,2.0,16.0,9006867.0,17.0,-25824780.0,827.0,63.0,70290527.0,,374426922.0,212236292.0,17.0,13127103.0,11328650.0,620221002.0,245794080.0,77668619.0,-7378093.0
ARE,HUN,2021,2.0,,,1.0,2.0,,,3.0,8.0,,,3.0,4.0,233242563.0,6.0,747381738.0,379.0,23.0,581381144.0,,889509939.0,1391504865.0,6.0,2560640.0,2461741.0,1032646654.0,143136715.0,581381144.0,
ARE,IDN,2021,2.0,11.0,,1.0,,,,5.0,,,,5.0,8.0,124235687.0,11.0,-57868960.0,970.0,32.0,44945647.0,,5860102.0,21565801.0,11.0,36830069.0,38060142.0,212027959.0,206167857.0,56743157.0,-11797510.0
ARE,IMN,2021,,,,,,,,,2.0,,,,,0.0,2.0,-1544554.0,0.0,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0
ARE,IND,2021,14.0,145.0,4.0,18.0,8.0,,1.0,1.0,169.0,2.0,6.0,15.0,45.0,2125406568.0,28.0,-362623958.0,30399.0,428.0,137666985.0,,468707391.0,3476686229.0,28.0,75814119.0,94335656.0,2677858813.0,2209151423.0,254222767.0,-116555782.0
ARE,IRL,2021,5.0,,,24.0,6.0,,2.0,,504.0,,2.0,2.0,11.0,11428402549.0,11.0,1734522200.0,1015.0,556.0,847116479.0,,1343756990.0,9357791281.0,11.0,-2862747.0,-1325965.0,3180888267.0,1837131277.0,876286893.0,-29170414.0
ARE,IRN,2021,2.0,1.0,,,,,,,,1.0,,3.0,3.0,44453915.0,5.0,16836021.0,3694.0,10.0,50426441.0,,0.0,2668159.0,5.0,1613212.0,2270403.0,224551385.0,224551385.0,50955320.0,-528879.0
ARE,IRQ,2021,,7.0,,2.0,,,,3.0,4.0,2.0,,8.0,11.0,212056252.0,12.0,-57491309.0,1805.0,37.0,177299481.0,,47344027.0,14902386.0,12.0,3052212.0,17377163.0,470667899.0,423323873.0,178083545.0,-784064.0
ARE,ISR,2021,,,,,,,,2.0,,,,3.0,1.0,228336.0,2.0,199731.0,0.0,6.0,315882.0,,3474692.0,38.0,2.0,74924.0,78703.0,3474692.0,0.0,315882.0,0.0
ARE,ITA,2021,5.0,,,1.0,,,,2.0,5.0,1.0,2.0,4.0,16.0,312645105.0,15.0,61169061.0,5916.0,36.0,7309829.0,,50518239.0,203781896.0,15.0,7762211.0,9083197.0,960778754.0,910260514.0,49206592.0,-41896762.0
ARE,JEY,2021,2.0,4.0,3.0,8.0,1.0,,,,6.0,12.0,,,4.0,550292356.0,10.0,-3901713.0,1732.0,40.0,-2893707.0,,74336000.0,211893123.0,10.0,14154287.0,142287.0,204590922.0,130254922.0,10029134.0,-12922840.0
ARE,JOR,2021,6.0,4.0,1.0,1.0,,,,1.0,10.0,3.0,,8.0,12.0,395032184.0,19.0,86026733.0,7517.0,46.0,-2521196.0,,47448373.0,88008392.0,19.0,2883850.0,2581863.0,675754328.0,628305955.0,31481591.0,-34002787.0
ARE,JPN,2021,1.0,1.0,,1.0,,1.0,,,,1.0,,6.0,7.0,8538276.0,7.0,4810057.0,288.0,18.0,3867210.0,,8483372.0,4022052.0,7.0,3275034.0,6187590.0,174285031.0,165801659.0,8328628.0,-4461417.0
ARE,KAZ,2021,1.0,3.0,1.0,1.0,,,,,9.0,1.0,1.0,6.0,3.0,24278267.0,9.0,-65013984.0,2658.0,26.0,18965342.0,,13235995.0,50400494.0,9.0,-2485131.0,3873875.0,163323166.0,150087173.0,20726672.0,-1761330.0
ARE,KEN,2021,,5.0,1.0,,,,,,1.0,3.0,,5.0,9.0,99033000.0,11.0,32325675.0,2555.0,24.0,15460322.0,,5299905.0,29914570.0,11.0,10120022.0,7180165.0,378781274.0,373481368.0,22962724.0,-7502402.0
ARE,KHM,2021,2.0,,,,,,,,,,,2.0,3.0,95117.0,3.0,7580019.0,16.0,7.0,3552815.0,,0.0,100000.0,3.0,709010.0,153062.0,10821666.0,10821666.0,3552815.0,
ARE,KOR,2021,4.0,,,2.0,,,,,1.0,,,3.0,6.0,507988380.0,8.0,396757344.0,3281.0,16.0,328145132.0,,70071727.0,1188831871.0,8.0,62893005.0,49283683.0,2080209638.0,2010137911.0,328146364.0,-1232.0
ARE,KWT,2021,4.0,2.0,3.0,1.0,,,,3.0,2.0,6.0,,17.0,11.0,676351483.0,18.0,193564892.0,12093.0,49.0,144152716.0,,35778628.0,218535490.0,18.0,3076334.0,13547047.0,1776356349.0,1740577720.0,144152716.0,0.0
ARE,LBN,2021,4.0,7.0,,16.0,,,3.0,,8.0,3.0,,5.0,11.0,379064011.0,11.0,-1139640303.0,2865.0,57.0,-66334792.0,,81816873.0,339579651.0,11.0,2195662.0,4607994.0,385061802.0,303244929.0,23659849.0,-89994641.0
ARE,LBR,2021,,,,,,,,,2.0,,,1.0,1.0,10885826.0,2.0,-6147334.0,29.0,4.0,-1237404.0,,2862186.0,201161.0,2.0,104874.0,103981.0,8028067.0,5165881.0,,-1237404.0
ARE,LBY,2021,1.0,4.0,1.0,,,,,,,,,,2.0,4205775.0,4.0,8809220.0,184.0,8.0,11002870.0,,65375.0,65004870.0,4.0,1982829.0,292528.0,23892154.0,23826779.0,11201344.0,-198474.0
ARE,LCA,2021,2.0,1.0,,,,,,,,,,,,1490744.0,3.0,15065908.0,0.0,3.0,2053308.0,,2364000.0,20003.0,3.0,20534.0,0.0,2364772.0,772.0,2053308.0,0.0
ARE,LKA,2021,,1.0,,1.0,,,,1.0,,,,2.0,3.0,70212802.0,5.0,-9611234.0,447.0,8.0,2479360.0,,7280069.0,37784348.0,5.0,229439.0,72095.0,140992042.0,133711972.0,2479360.0,0.0
ARE,LUX,2021,2.0,3.0,,13.0,,,,,17.0,,,2.0,3.0,110725036.0,11.0,-2984033162.0,13.0,40.0,131754442.0,,18176759.0,281151655.0,11.0,2067173.0,696495.0,171589477.0,153412718.0,131950309.0,-195868.0
ARE,MAC,2021,,,,,,,,,,,,,1.0,0.0,1.0,213923.0,0.0,1.0,-784.0,,0.0,3199.0,1.0,0.0,0.0,0.0,0.0,,-784.0
ARE,MAR,2021,2.0,1.0,,4.0,,,,8.0,13.0,3.0,,8.0,5.0,2346001799.0,14.0,1899368370.0,12669.0,44.0,1270193410.0,,116575297.0,4487738956.0,14.0,344373436.0,366391261.0,3195689968.0,3079063999.0,1292858739.0,-22665329.0
ARE,MDV,2021,2.0,,,,,,,,1.0,,,2.0,6.0,454144561.0,4.0,-5659248.0,1867.0,11.0,-2205205.0,,0.0,15076285.0,4.0,567839.0,1252802.0,75352618.0,75352618.0,11123894.0,-13329099.0
ARE,MEX,2021,3.0,6.0,,2.0,,,,3.0,7.0,1.0,,4.0,18.0,134448224.0,7.0,-46426348.0,3730.0,44.0,22640468.0,,63305842.0,32144639.0,7.0,3198162.0,3808831.0,300096874.0,236791032.0,23883428.0,-1242960.0
ARE,MHL,2021,,18.0,,4.0,,,,,53.0,,,,,704923055.0,3.0,-13472844.0,0.0,75.0,3832946.0,,60077760.0,10650606.0,3.0,1678854.0,1678854.0,62607321.0,2529561.0,3832946.0,
ARE,MLI,2021,,2.0,,,,,,,1.0,,,,,212386330.0,3.0,63279751.0,418.0,3.0,91668306.0,,6882511.0,16382207.0,3.0,28337477.0,24816620.0,287043127.0,280160615.0,91849872.0,-181566.0
ARE,MLT,2021,,1.0,,11.0,,,,,47.0,,,,2.0,2368361759.0,6.0,-545767462.0,857.0,61.0,5058268.0,,469949451.0,259197859.0,6.0,2241901.0,2523226.0,1146027610.0,676078159.0,42042041.0,-36983773.0
ARE,MMR,2021,2.0,1.0,,,,,,,,,,2.0,2.0,0.0,3.0,-13546.0,0.0,7.0,15419.0,,0.0,50000.0,3.0,0.0,0.0,289198.0,289198.0,18919.0,-3500.0
ARE,MNE,2021,2.0,,,,,,2.0,1.0,,1.0,,6.0,1.0,239038340.0,1.0,-94658196.0,230.0,13.0,-21775395.0,,7481370.0,247525479.0,1.0,0.0,0.0,68480590.0,60999220.0,,-21775395.0
ARE,MOZ,2021,,1.0,,1.0,,,,,1.0,1.0,,,10.0,111005278.0,7.0,172090207.0,1138.0,14.0,17245542.0,,0.0,2022726.0,7.0,9404491.0,9728872.0,123696118.0,123696118.0,17539878.0,-294336.0
ARE,MRT,2021,,,,,,,,1.0,1.0,,,1.0,1.0,24326129.0,3.0,-11349946.0,310.0,4.0,50724.0,,251278.0,4380123.0,3.0,2081466.0,1953856.0,17867774.0,17616496.0,6381492.0,-6330768.0
ARE,MUS,2021,2.0,1.0,,23.0,1.0,,1.0,,4.0,,,,3.0,95298308.0,12.0,-858457822.0,500.0,35.0,-37396069.0,,36069892.0,272020241.0,12.0,9280953.0,775615.0,58942461.0,22872569.0,,-37396069.0
ARE,MYS,2021,4.0,2.0,1.0,,,,,,10.0,2.0,,7.0,10.0,596137130.0,14.0,-23029890.0,1333.0,36.0,-30735997.0,,89131666.0,38406604.0,14.0,1012137.0,2638593.0,229661649.0,140529983.0,10212490.0,-40948487.0
ARE,NAM,2021,,1.0,,1.0,,,,1.0,,,,,1.0,42964422.0,3.0,-36783051.0,1166.0,4.0,-8273394.0,,12327.0,17576851.0,3.0,0.0,0.0,3241885.0,3229558.0,,-8273394.0
ARE,NER,2021,,1.0,,,,,,,1.0,,,,,122207162.0,2.0,-40095786.0,109.0,2.0,-12124369.0,,4685754.0,2042849.0,2.0,1039784.0,1064106.0,70361706.0,65675952.0,,-12124369.0
ARE,NGA,2021,3.0,4.0,,1.0,,1.0,,,2.0,1.0,,9.0,13.0,100870745.0,13.0,-14474242.0,1056.0,34.0,-7647345.0,,7197378.0,13487650.0,13.0,4661971.0,9376198.0,332965710.0,325768332.0,11206576.0,-18853922.0
ARE,NLD,2021,11.0,10.0,1.0,110.0,35.0,,1.0,3.0,19.0,5.0,,5.0,23.0,596772289.0,17.0,-3975314805.0,5810.0,223.0,203041979.0,,886317191.0,36227156798.0,17.0,28249195.0,4509784.0,2709026912.0,1822709721.0,228792597.0,-25750618.0
ARE,NOR,2021,1.0,,,1.0,2.0,,,,12.0,,,,6.0,27948446.0,6.0,-2277429.0,21.0,22.0,15356209.0,,11818540.0,52211490.0,6.0,422525.0,0.0,51790928.0,39972388.0,15364615.0,-8406.0
ARE,NPL,2021,,,,,,,,,1.0,,,1.0,1.0,0.0,1.0,0.0,0.0,3.0,297336.0,,0.0,0.0,1.0,15368.0,7351.0,297336.0,297336.0,297336.0,
ARE,NZL,2021,,5.0,,3.0,,,1.0,,,,,2.0,15.0,41067883.0,4.0,34652272.0,345.0,26.0,3833022.0,,19318936.0,108661187.0,4.0,1946406.0,2437917.0,85596034.0,66277098.0,6489797.0,-2656775.0
ARE,OMN,2021,8.0,5.0,1.0,8.0,,,,3.0,9.0,4.0,,24.0,22.0,1284574877.0,25.0,-531947111.0,13541.0,84.0,-57225947.0,,174164808.0,285101416.0,25.0,11070895.0,10823108.0,2321581136.0,2147416330.0,36965711.0,-94191658.0
ARE,PAK,2021,1.0,3.0,1.0,2.0,,,,1.0,8.0,1.0,,3.0,7.0,1697954042.0,11.0,-198755737.0,29717.0,27.0,173225856.0,,41103810.0,735006288.0,11.0,55095077.0,65474764.0,1620678535.0,1579574726.0,185492939.0,-12267084.0
ARE,PAN,2021,,,,,,,,2.0,1.0,1.0,,2.0,2.0,703182.0,4.0,-611557.0,68.0,8.0,-457582.0,,1516128.0,678766.0,4.0,208686.0,0.0,7202036.0,5685909.0,,-457582.0
ARE,PER,2021,2.0,2.0,,,4.0,,,,,,,,9.0,847798877.0,3.0,311797402.0,6061.0,17.0,156778616.0,,14642685.0,339782480.0,3.0,47640223.0,40259813.0,717461955.0,702819272.0,156844509.0,-65893.0
ARE,PHL,2021,5.0,3.0,,6.0,,,,,1.0,,,4.0,7.0,11218842.0,9.0,8989496.0,2386.0,26.0,-41636232.0,,56081829.0,28302721.0,9.0,2299113.0,2234540.0,237547840.0,181466013.0,46967407.0,-88603639.0
ARE,PNG,2021,,,,,,,,,,,,,5.0,112145416.0,2.0,18670820.0,391.0,5.0,11464783.0,,505656.0,341697.0,2.0,927507.0,1679448.0,45287137.0,44781481.0,11464783.0,
ARE,POL,2021,3.0,2.0,,2.0,,,,,2.0,,,2.0,7.0,18338346.0,4.0,30127892.0,1167.0,18.0,10373305.0,,19490994.0,192681.0,4.0,2535371.0,135691.0,156356639.0,136865647.0,10373305.0,
ARE,PRI,2021,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0
ARE,PRT,2021,,,,,,,,,,,,,1.0,34238.0,1.0,-120885.0,10.0,1.0,145461.0,,0.0,339977.0,1.0,7035.0,0.0,873396.0,873396.0,145461.0,
ARE,PRY,2021,2.0,,,,,,,4.0,,,,2.0,2.0,103853584.0,4.0,-36610882.0,128.0,10.0,-7580531.0,,6250900.0,98652040.0,4.0,138114.0,202647.0,32842488.0,26591588.0,36911.0,-7617442.0
ARE,PSE,2021,,1.0,,,,,,,,,,,1.0,607316.0,1.0,-567327.0,46.0,2.0,-229251.0,,174802.0,330375.0,1.0,34608.0,80461.0,3104235.0,2929432.0,,-229251.0
ARE,QAT,2021,,5.0,3.0,1.0,,,,3.0,11.0,5.0,,15.0,12.0,649107701.0,22.0,-119479909.0,12727.0,55.0,123314225.0,,79934578.0,116914046.0,22.0,14574639.0,25183890.0,2355779069.0,2275844490.0,130215679.0,-6901453.0
ARE,ROU,2021,2.0,,,,2.0,,,4.0,2.0,,,1.0,6.0,322494417.0,5.0,109754371.0,2473.0,17.0,33057678.0,,208176909.0,189438722.0,5.0,7184459.0,3295907.0,390835369.0,182658460.0,46242587.0,-13184909.0
ARE,RUS,2021,4.0,3.0,1.0,2.0,,,,,5.0,,,11.0,8.0,109149092.0,9.0,118203866.0,1911.0,34.0,37301547.0,,87627606.0,85437169.0,9.0,6251590.0,6256602.0,548370907.0,460743302.0,38236520.0,-934973.0
